" Feature Name"|"Antarctica ID"|"Class"|"Latitude"|"Longitude"|"Elevation (m)"|"Decision Year"|"Date Last Modified"|
"Apollo Glacier"|"523"|"Glacier"|"685000S"|"0644500W"|""|"01-JAN-1962"|""
"Arago Glacier"|"532"|"Glacier"|"645100S"|"0622300W"|""|"01-JAN-1964"|""
"Archer Glacier"|"540"|"Glacier"|"651000S"|"0630500W"|""|"01-JAN-1964"|"05-Mar-1997"
"Arena Glacier"|"559"|"Glacier"|"632400S"|"0570300W"|""|"01-JAN-1963"|""
"Arensky Glacier"|"18800"|"Glacier"|"713900S"|"0721500W"|""|"01-JAN-2006"|""
"Argentina Glacier"|"18529"|"Glacier"|"624100S"|"0602400W"|""|"01-JAN-2003"|"23-Jan-2004"
"Argo Glacier"|"571"|"Glacier"|"832200S"|"1573000E"|""|"01-JAN-1966"|""
"Argonaut Glacier"|"572"|"Glacier"|"731300S"|"1664200E"|""|"01-JAN-1967"|""
"Argosy Glacier"|"574"|"Glacier"|"830800S"|"1573500E"|""|"01-JAN-1966"|""
"Armstrong Glacier"|"601"|"Glacier"|"713100S"|"0673000W"|""|"01-JAN-1978"|""
"Arneb Glacier"|"607"|"Glacier"|"722500S"|"1700200E"|""|"01-JAN-1962"|""
"Arriens Glacier"|"19247"|"Glacier"|"732748S"|"0682401E"|""|"20-OCT-2009"|"07-Jan-2010"
"Arruiz Glacier"|"627"|"Glacier"|"703900S"|"1620900E"|""|"01-JAN-1964"|""
"Arthur Glacier"|"634"|"Glacier"|"770300S"|"1451500W"|""|"01-JAN-1966"|""
"Asafiev Glacier"|"18801"|"Glacier"|"710500S"|"0704500W"|""|"01-JAN-2006"|""
"Ascent Glacier"|"640"|"Glacier"|"831300S"|"1562400E"|""|"01-JAN-1966"|""
"Ashton Glacier"|"649"|"Glacier"|"704400S"|"0615700W"|""|"01-JAN-1953"|""
"Ashworth Glacier"|"18931"|"Glacier"|"850136S"|"1691553E"|""|"17-JUL-2007"|""
"Asimutbreen Glacier"|"652"|"Glacier"|"712300S"|"0134200E"|""|"01-JAN-1970"|""
"Assender Glacier"|"660"|"Glacier"|"673600S"|"0462500E"|""|"01-JAN-1965"|""
"Astakhov Glacier"|"663"|"Glacier"|"704500S"|"1632100E"|""|"01-JAN-1970"|""
"Astapenko Glacier"|"664"|"Glacier"|"704000S"|"1630000E"|""|"01-JAN-1964"|""
"Aster Glacier"|"18828"|"Glacier"|"783500S"|"0850000W"|""|"01-NOV-2006"|""
"Astro Glacier"|"672"|"Glacier"|"825400S"|"1572000E"|""|"01-JAN-1966"|""
"Astrolabe Glacier"|"674"|"Glacier"|"664500S"|"1395500E"|""|"01-JAN-1955"|""
"Astrolabe Glacier Tongue"|"675"|"Glacier"|"664200S"|"1400500E"|""|"01-JAN-1956"|""
"Astronaut Glacier"|"681"|"Glacier"|"730500S"|"1640500E"|""|"01-JAN-1964"|""
"Astudillo Glacier"|"685"|"Glacier"|"645300S"|"0625100W"|""|""|""
"Athene Glacier"|"689"|"Glacier"|"685600S"|"0640000W"|""|"01-JAN-1962"|""
"Atka Glacier"|"694"|"Glacier"|"764100S"|"1613300E"|""|"01-JAN-1962"|""
"Atkinson Glacier"|"698"|"Glacier"|"713000S"|"1672500E"|""|""|""
"Attlee Glacier"|"704"|"Glacier"|"661300S"|"0634600W"|""|"01-JAN-1952"|""
"Aurora Glacier"|"729"|"Glacier"|"773724S"|"1673719E"|""|"01-JAN-1964"|"05-Mar-1997"
"Auster Glacier"|"735"|"Glacier"|"671200S"|"0504500E"|""|"01-JAN-1961"|""
"Austin Glacier"|"743"|"Glacier"|"540400S"|"0371200W"|""|"01-JAN-1965"|""
"Austreskorve Glacier"|"759"|"Glacier"|"715000S"|"0054000E"|""|"01-JAN-1967"|""
"Aviator Glacier"|"776"|"Glacier"|"735000S"|"1650300E"|""|"01-JAN-1964"|""
"Aviator Glacier Tongue"|"777"|"Glacier"|"740000S"|"1655000E"|""|"01-JAN-1969"|""
"Avsyuk Glacier"|"784"|"Glacier"|"670700S"|"0671500W"|""|"01-JAN-1965"|""
"Axel Heiberg Glacier"|"786"|"Glacier"|"852500S"|"1630000W"|""|"01-JAN-1947"|""
"Bachtold Glacier"|"19125"|"Glacier"|"770639S"|"1615939E"|""|"15-JAN-2008"|""
"Backstairs Passage Glacier"|"823"|"Glacier"|"750200S"|"1623600E"|""|"01-JAN-1947"|""
"Bader Glacier"|"824"|"Glacier"|"673700S"|"0664500W"|""|"01-JAN-1960"|""
"Bagshawe Glacier"|"832"|"Glacier"|"645600S"|"0623500W"|""|"01-JAN-1963"|""
"Baker Glacier"|"867"|"Glacier"|"724600S"|"1691500E"|""|"01-JAN-1970"|""
"Balakirev Glacier"|"18802"|"Glacier"|"712500S"|"0701000W"|""|"01-JAN-2006"|""
"Balch Glacier"|"886"|"Glacier"|"665000S"|"0644800W"|""|"01-JAN-1960"|""
"Balchen Glacier"|"884"|"Glacier"|"762300S"|"1451000W"|""|"01-JAN-1947"|""
"Baldwin Glacier"|"895"|"Glacier"|"850600S"|"1771000W"|""|"01-JAN-1962"|""
"Balish Glacier"|"907"|"Glacier"|"792500S"|"0843000W"|""|"01-JAN-1966"|""
"Ball Glacier"|"17059"|"Glacier"|"780300S"|"1625000E"|""|"01-JAN-1995"|"15-Jun-2008"
"Ball Glacier"|"17330"|"Glacier"|"642000S"|"0572200W"|""|"01-JAN-1996"|"22-Sep-1998"
"Bally Glacier"|"18248"|"Glacier"|"812200S"|"1591200E"|""|"01-JAN-2003"|"24-Jan-2003"
"Baranowski Glacier"|"940"|"Glacier"|"621200S"|"0582700W"|""|""|""
"Barber Glacier"|"944"|"Glacier"|"702600S"|"1624500E"|""|"01-JAN-1970"|""
"Barcus Glacier"|"950"|"Glacier"|"741500S"|"0620000W"|""|"01-JAN-1968"|""
"Bargh Glacier"|"963"|"Glacier"|"730500S"|"1684600E"|""|"01-JAN-1969"|""
"Barkov Glacier"|"975"|"Glacier"|"714600S"|"0102700E"|""|"01-JAN-1970"|""
"Barne Glacier"|"989"|"Glacier"|"773624S"|"1662322E"|""|"01-JAN-1952"|""
"Barnes Glacier"|"994"|"Glacier"|"673200S"|"0662500W"|""|"01-JAN-1960"|""
"Barnett Glacier"|"999"|"Glacier"|"705900S"|"1673000E"|""|"01-JAN-1964"|""
"Barnola Glacier"|"19510"|"Glacier"|"641438S"|"0580336W"|""|"19-NOV-2013"|"20-Nov-2013"
"Baronick Glacier"|"1002"|"Glacier"|"783600S"|"1615000E"|""|"01-JAN-1963"|""
"Barrett Glacier"|"1013"|"Glacier"|"843700S"|"1741000W"|""|"01-JAN-1966"|"05-Mar-1997"
"Barré Glacier"|"1009"|"Glacier"|"663500S"|"1384000E"|""|"01-JAN-1955"|""
"Bartlett Glacier"|"1037"|"Glacier"|"861500S"|"1520000W"|""|"01-JAN-1956"|""
"Bartley Glacier"|"1039"|"Glacier"|"773311S"|"1621539E"|""|"01-JAN-1962"|""
"Bartrum Glacier"|"1043"|"Glacier"|"794400S"|"1584400E"|""|"01-JAN-1965"|""
"Bartók Glacier"|"1040"|"Glacier"|"693800S"|"0710000W"|""|"01-JAN-1961"|""
"Bary Glacier"|"1046"|"Glacier"|"542600S"|"0364700W"|""|""|""
"Bates Glacier"|"1068"|"Glacier"|"741300S"|"1635100E"|""|"01-JAN-1966"|""
"Battye Glacier"|"1079"|"Glacier"|"705211S"|"0674533E"|""|"01-JAN-1967"|"07-Jan-2010"
"Baudissin Glacier"|"1082"|"Glacier"|"530200S"|"0732600E"|""|"01-JAN-1957"|""
"Baxter Glacier"|"1092"|"Glacier"|"764000S"|"1615100E"|""|"01-JAN-1993"|""
